date,rel_day,AR,AR_std
2022-02-11,-10,-0.0006376658180099574,0.0028428819150350575
2022-02-14,-9,0.002960436479638216,0.0027950702640911944
2022-02-15,-8,-0.00020636668346225157,0.002818740944866787
2022-02-16,-7,-9.545652888734543e-05,0.002788518763463868
2022-02-17,-6,-6.678541968214644e-05,0.0028296565156694545
2022-02-18,-5,0.0014507089881462265,0.0027960725439394873
2022-02-22,-4,0.0029241130450389664,0.0027995335119641103
2022-02-23,-3,0.000180564531410108,0.0028200196957742637
2022-02-24,-2,0.00023794690645738414,0.0028672527823303566
2022-02-25,-1,-0.007013877487570945,0.002850432108113629
2022-02-28,0,0.0021890053305464695,0.0027954064606513724
2022-03-01,1,-0.002021449426966977,0.0028199029142410605
2022-03-02,2,0.0011732458032246464,0.002824723551873912
2022-03-03,3,-0.00035194780343371194,0.0027992343133615167
2022-03-04,4,-0.00017062617877069107,0.002797670866628736
2022-03-07,5,0.0019535048501581054,0.0028925854703989572
2022-03-08,6,0.004719661005280601,0.002809674049223543
2022-03-09,7,-0.0045509368592809366,0.0028485213058255954
2022-03-10,8,-0.0013272503676954699,0.002795171585886837
2022-03-11,9,0.0011417664398900226,0.0028097243607673964
2022-03-14,10,-0.0030610578297100843,0.002811713234158791
