date,rel_day,AR,AR_std
2021-10-18,-10,-0.004645284110108469,0.01192787587436274
2021-10-19,-9,0.0031505810539723756,0.01195064717482847
2021-10-20,-8,-0.00787138211512338,0.011945380525819864
2021-10-21,-7,-0.013408803771586337,0.01194087015810829
2021-10-22,-6,-0.0017288732158786124,0.01193896796180431
2021-10-25,-5,0.004951328181048781,0.01193099539032345
2021-10-26,-4,0.0063230629356426475,0.011940776168570408
2021-10-27,-3,0.0023826405048356994,0.011984161819457523
2021-10-28,-2,-0.007083825307581355,0.011966793024602065
2021-10-29,-1,-0.005873396945864403,0.011935804302133774
2021-11-01,0,-0.0016630097111157323,0.012052924020262042
2021-11-02,1,-0.0077031839677680555,0.011930320084697459
2021-11-03,2,-0.020288965776246816,0.01199235095651687
2021-11-04,3,0.00848837451533079,0.011953897107376125
2021-11-05,4,-0.0038752899615484473,0.011950407607353442
2021-11-08,5,0.0026798487799644267,0.011920663581038542
2021-11-09,6,0.0033463346693491888,0.011929508320756111
2021-11-10,7,-0.019642582318027905,0.011977699042354625
2021-11-11,8,-0.0056415776305403,0.011929429924903853
2021-11-12,9,-0.0023579123362545643,0.011952412898869787
2021-11-15,10,0.0016338385652667348,0.011939588282720973
