date,rel_day,AR,AR_std
2015-06-29,-10,-0.007482072359051784,0.013198280851537318
2015-06-30,-9,0.019264384909470904,0.013037886828198252
2015-07-01,-8,-0.014940664761489073,0.013059079368551087
2015-07-02,-7,0.0014552609529653988,0.013015354845414877
2015-07-06,-6,-0.042335493006232794,0.013030090107053686
2015-07-07,-5,-0.0503212463795841,0.013029889682155751
2015-07-08,-4,-0.0593302528761207,0.013107991250679508
2015-07-09,-3,0.04598538549892517,0.012978249734467897
2015-07-10,-2,0.03168069385240449,0.01306497963490454
2015-07-13,-1,-0.008550893316293528,0.01305461761029877
2015-07-14,0,-0.008784961339894782,0.012990118725208818
2015-07-15,1,-0.02322423854259013,0.013048079218089622
2015-07-16,2,0.009886303898938683,0.013070846368368317
2015-07-17,3,0.003765781781014505,0.01311621414413401
2015-07-20,4,-0.009055004101895362,0.013129645921056707
2015-07-21,5,0.008802768972192829,0.013002808700058063
2015-07-22,6,-0.008403167119584862,0.012995261530723624
2015-07-23,7,0.00336698973581646,0.013032760762622234
2015-07-24,8,-0.004373120172532314,0.013066180919150343
2015-07-27,9,-0.03315332003218775,0.013004931456370585
2015-07-28,10,0.00392428259926589,0.013061682903208407
