date,rel_day,AR,AR_std
2018-03-08,-10,0.0001437634254561112,0.00035721886829784836
2018-03-09,-9,-3.428884893820483e-05,0.00036127181089876977
2018-03-12,-8,0.0002448433928481967,0.000356771852799718
2018-03-13,-7,0.00042362286143243603,0.0003569217575106425
2018-03-14,-6,-0.00020623531855834196,0.000357797362148465
2018-03-15,-5,0.00048590218549861535,0.00035695008712129225
2018-03-16,-4,-0.00014454331113163458,0.0003567097210437436
2018-03-19,-3,-0.0001458481035078868,0.0003607651061955744
2018-03-20,-2,-7.491968998449717e-06,0.000356268422454432
2018-03-21,-1,-0.00012064478867690291,0.00035838733822163933
2018-03-22,0,0.0004139247775286209,0.0003699493336693882
2018-03-23,1,-1.9642641174547754e-05,0.0003646024600026576
2018-03-26,2,-0.0005952989960793659,0.0003699841614958724
2018-03-27,3,0.000991070165687901,0.00036305985379255764
2018-03-28,4,0.0008380338878299265,0.0003576949374293668
2018-03-29,5,-0.0007370725719408264,0.00035965750541121493
2018-04-02,6,0.00020888379933996226,0.0003662222448088679
2018-04-03,7,0.00010533624944325179,0.0003584647017645257
2018-04-04,8,0.0002770385250258512,0.00035857051590620426
2018-04-05,9,-0.0005071993233145833,0.00035741965013601034
2018-04-06,10,0.00016310077278504365,0.0003657735583992457
