date,rel_day,AR,AR_std
2010-09-08,-10,0.00012614311927597929,0.0004355230283187487
2010-09-09,-9,-2.0190290680450855e-05,0.00043674481044591755
2010-09-10,-8,0.0002708216608692023,0.000435841810603542
2010-09-13,-7,-0.0003138135588676323,0.0004387952732133867
2010-09-14,-6,-0.00033384567798734437,0.0004364000726960374
2010-09-15,-5,0.00020447094249366818,0.00043568636341073295
2010-09-16,-4,-0.00025996992011778093,0.00043809094138229853
2010-09-17,-3,0.00017343115855421721,0.0004370985004594041
2010-09-20,-2,0.0006666460981768173,0.0004391352339515206
2010-09-21,-1,0.0002809510153479141,0.0004355477174695836
2010-09-22,0,-0.0002575398052053063,0.0004367428047257877
2010-09-23,1,-0.0005057942666797655,0.00043609862830446515
2010-09-24,2,0.00034041276989539224,0.00043882265834608984
2010-09-27,3,-0.0006976639308995721,0.00043581587484722693
2010-09-28,4,-8.564171234497295e-05,0.00043578344412410216
2010-09-29,5,0.00010154307619218662,0.0004365614771112864
2010-09-30,6,-0.00020753425710615982,0.0004363388991266665
2010-10-01,7,0.00022699508650008728,0.0004353544627277868
2010-10-04,8,8.666517836411133e-05,0.00043663688831372326
2010-10-05,9,0.0005173397064745233,0.00043953703020135876
2010-10-06,10,0.00019081618613433647,0.0004365775882323767
