date,score_volume,n_articles,n_gep_articles,score
1996-01-01,0.18613904507572235,685,250,0.0002717358322273319
1996-01-02,1.5875130193512552,4657,1813,0.00034088748536638505
1996-01-03,2.135557994217484,5578,2159,0.0003828537099708648
1996-01-04,2.22753920994136,6233,2241,0.0003573783426827146
1996-01-05,2.363422114366019,5637,2229,0.0004192694898644702
1996-01-06,0.15587251173572417,513,173,0.0003038450521164214
1996-01-07,0.40098083406327967,846,338,0.00047397261709607527
1996-01-08,2.069377942240798,5632,2256,0.0003674321630399144
1996-01-09,2.155397293654695,6393,2401,0.0003371495844915838
1996-01-10,2.0026081408055156,6600,2428,0.0003034254758796236
1996-01-11,2.143910244861883,6965,2490,0.00030781195188253884
1996-01-12,2.0108870289178906,5886,2202,0.0003416389787492169
1996-01-13,0.1925526913365132,589,231,0.0003269145863098696
1996-01-14,0.24516128334410217,901,297,0.0002720990936116561
1996-01-15,1.7821664326509907,5855,2001,0.00030438367765174904
1996-01-16,2.0010429979049382,6628,2423,0.00030190751326266416
1996-01-17,2.1868342156085143,7535,2519,0.0002902235189925036
1996-01-18,2.7149459775139797,7776,3017,0.0003491442872317361
1996-01-19,2.115978738811805,6453,2346,0.00032790620468182324
1996-01-20,0.2705755431967088,797,313,0.000339492525968267
1996-01-21,0.317942506005775,982,354,0.0003237703727146385
1996-01-22,2.267629464758356,6903,2532,0.0003284991257074252
1996-01-23,2.310565792488508,6968,2605,0.0003315966981183278
1996-01-24,2.5717358681205185,7530,2876,0.0003415319877982096
1996-01-25,2.6857055439490547,7871,2917,0.00034121528953742276
1996-01-26,2.2111990203352594,6208,2304,0.00035618540920348893
1996-01-27,0.20789826794631225,601,245,0.00034592057894561106
1996-01-28,0.3041005040660168,1022,383,0.0002975543092622474
1996-01-29,2.4581424627309905,6744,2532,0.000364493247735912
1996-01-30,2.5537150496007794,7647,2965,0.00033394992148565183
1996-01-31,2.3924334530418965,8015,2813,0.0002984945044344225
1996-02-01,2.3658873641787346,7607,2775,0.0003110145082396128
1996-02-02,2.467494596934311,6343,2445,0.0003890106569343073
1996-02-03,0.06502185054487418,134,58,0.0004852376906333894
1996-02-04,0.4305402352767933,933,439,0.0004614579156235727
1996-02-05,2.1350027799769475,6857,2617,0.00031136105876869587
1996-02-06,2.711211733454453,7373,2940,0.000367721651085644
1996-02-07,2.7154450567166153,7677,2999,0.000353711743743209
1996-02-08,2.5556358431509487,7762,2924,0.0003292496577107638
1996-02-09,2.195338720652755,6504,2421,0.0003375367036673977
1996-02-10,0.16355117182811849,580,203,0.0002819847790139974
1996-02-11,0.295027856010405,971,332,0.0003038391925956797
1996-02-12,2.002260819265619,6429,2285,0.00031144203130589813
1996-02-13,2.274451009021687,7275,2491,0.0003126393139548711
1996-02-14,2.5136319007870123,7299,2721,0.0003443803124793824
1996-02-15,2.478046380519574,7767,2873,0.0003190480726818043
1996-02-16,1.9297714587636001,6423,2296,0.00030044705881419897
1996-02-17,0.2329989692704986,593,283,0.00039291563114755244
1996-02-18,0.3415450016552968,996,436,0.0003429166683286112
1996-02-19,1.403092021335831,4372,1662,0.00032092681183344717
1996-02-20,2.187025740626854,6714,2553,0.00032574109928907566
1996-02-21,2.082680309066939,6757,2527,0.00030822558962068065
1996-02-22,2.1219330116573056,7115,2524,0.0002982337331914695
1996-02-23,1.946888300770325,6288,2368,0.0003096196407077489
1996-02-24,0.18605292294412887,536,240,0.00034711366220919565
1996-02-25,0.36634960538323813,1095,423,0.00033456584966505765
1996-02-26,2.251795950431823,6775,2496,0.00033236840596779675
1996-02-27,2.5255760847483675,7508,3034,0.0003363846676542844
1996-02-28,2.624183950212066,7500,2869,0.0003498911933616088
1996-02-29,2.4678056579447794,7686,2998,0.00032107801950881853
1996-03-01,2.19260584328536,6526,2603,0.00033598005566738584
1996-03-02,0.22895995663926305,741,300,0.00030898779573449803
1996-03-03,0.32455267191244497,1211,456,0.0002680038578963212
1996-03-04,2.3783027178516774,6989,2812,0.00034029227612701065
1996-03-05,2.326072072759256,6968,2565,0.00033382205406992763
1996-03-06,2.3527985511509755,7379,2777,0.00031885059644273957
1996-03-07,2.5350773595901193,7453,2889,0.0003401418703327679
