month,GEP_monthly,n_articles,n_gep_articles,n_trading_days,GEP_norm,GEP_norm_mean
1996-01,0.00033560125249028913,152650.0,56653.0,31.0,83.87510315034564,0.00040012022624726415
1996-02,0.00032946978187207326,151869.0,57232.0,29.0,82.34269608466863,0.00040012022624726415
1996-03,0.0003337498232784003,154164.0,57727.0,31.0,83.412384924563,0.00040012022624726415
1996-04,0.0003343090400817424,129144.0,48307.0,25.0,83.55214711768855,0.00040012022624726415
1996-05,0.00033291555159232626,161257.0,61048.0,31.0,83.20387967255444,0.00040012022624726415
1996-06,0.0003366372919727401,121661.0,45627.0,26.0,84.13403519488834,0.00040012022624726415
1996-07,0.00032794356936573753,159920.0,60288.0,31.0,81.96125760537703,0.00040012022624726415
1996-08,0.00033258706146533116,147373.0,54559.0,31.0,83.1217818165985,0.00040012022624726415
1996-09,0.0003299371589256831,149709.0,56677.0,30.0,82.45950523925534,0.00040012022624726415
1996-10,0.0003317655363256944,26325.0,10110.0,4.0,82.91646224369364,0.00040012022624726415
1997-01,0.0003437920105766738,153614.0,59836.0,31.0,85.922177391807,0.00040012022624726415
1997-02,0.00036834447184911175,153814.0,63413.0,28.0,92.05844835784038,0.00040012022624726415
1997-03,0.00037822584279954575,158603.0,64623.0,31.0,94.52804881845982,0.00040012022624726415
1997-04,0.00036027366194901143,154638.0,62977.0,30.0,90.04135215258312,0.00040012022624726415
1997-05,0.00038360398249020485,165987.0,68933.0,31.0,95.8721797415828,0.00040012022624726415
1997-06,0.00034982150233356775,159287.0,62500.0,30.0,87.4290974026859,0.00040012022624726415
1997-07,0.00036819324613672586,159522.0,65688.0,31.0,92.02065328964194,0.00040012022624726415
1997-08,0.0003856604680786042,146478.0,60372.0,31.0,96.38614665789873,0.00040012022624726415
1997-09,0.0003463698164733206,132325.0,52405.0,26.0,86.56643522421504,0.00040012022624726415
1997-10,0.0003775133598089383,166180.0,69074.0,31.0,94.34998159169405,0.00040012022624726415
1997-11,0.0004051018423136764,65368.0,27663.0,13.0,101.24502980345056,0.00040012022624726415
1998-01,0.00043922310196263607,194815.0,87936.0,31.0,109.77278156671024,0.00040012022624726415
1998-02,0.00047516512180618677,147136.0,68543.0,28.0,118.7555866052487,0.00040012022624726415
1998-03,0.0004949197983860042,163129.0,78928.0,31.0,123.6927718020824,0.00040012022624726415
