date,rel_day,AR,AR_std
2015-06-29,-10,0.007503101312552066,0.008432317076849985
2015-06-30,-9,0.010687767078904712,0.008284631847550999
2015-07-01,-8,-0.011077418380809986,0.00824457507754774
2015-07-02,-7,0.0028029711763651894,0.008221779028469076
2015-07-06,-6,0.005871391326847709,0.00841496204510516
2015-07-07,-5,0.013603622426833214,0.008257245103764528
2015-07-08,-4,-0.0030320855157772823,0.008418246680003478
2015-07-09,-3,0.00030984747795941275,0.008253399027309791
2015-07-10,-2,-0.0074657210588365466,0.008309634604406426
2015-07-13,-1,-0.0030822585582177494,0.008263064079415698
2015-07-14,0,0.0017576186933737324,0.008252941732634907
2015-07-15,1,-0.008373394581877478,0.008234161820996726
2015-07-16,2,-0.000526596905538777,0.00825385193625209
2015-07-17,3,0.001838924489169615,0.008258810071822068
2015-07-20,4,-0.0013043116813671492,0.00829602976839313
2015-07-21,5,-0.0009551406055780891,0.008273970232320753
2015-07-22,6,-0.0021026568554108564,0.008214244320188305
2015-07-23,7,0.0038922470203013263,0.00821547536915132
2015-07-24,8,-0.0018506303549541935,0.008250689441961556
2015-07-27,9,-0.004535245282620368,0.008303065053315822
2015-07-28,10,0.017049379837069917,0.00823996594494494
