date,rel_day,AR,AR_std
2021-10-18,-10,0.029230003539197167,0.04705171638125516
2021-10-19,-9,0.01834416874567691,0.047141541995004935
2021-10-20,-8,0.00897699562929737,0.04712076672218665
2021-10-21,-7,-0.012480631563512808,0.04710297474106818
2021-10-22,-6,0.0031402341588691665,0.04709547117530852
2021-10-25,-5,0.02090067479161625,0.047064021889945566
2021-10-26,-4,0.05210445258442992,0.04710260398192164
2021-10-27,-3,-0.0028918699219074515,0.047273746720331945
2021-10-28,-2,0.04726305251296184,0.04720523229093721
2021-10-29,-1,-0.00956677920012952,0.047082991533575765
2021-11-01,0,0.0201909798991018,0.04754499196165434
2021-11-02,1,-0.007196142143683602,0.04706135802178334
2021-11-03,2,-0.018712910152218126,0.047306050288744475
2021-11-04,3,0.046067089386740936,0.04715436195608612
2021-11-05,4,0.0818536612465604,0.04714059697671266
2021-11-08,5,0.04968595062218936,0.047023266153945364
2021-11-09,6,-0.0011610642243890107,0.047058155868513196
2021-11-10,7,-0.03325210818005247,0.04724825309862731
2021-11-11,8,-0.058013051574275554,0.047057846621548806
2021-11-12,9,-0.023699228333140122,0.047148507220638965
2021-11-15,10,0.006676973598736847,0.047097918146097255
