date,rel_day,AR,AR_std
2003-03-06,-10,-0.0005385038148661685,0.0007089890676039183
2003-03-07,-9,-0.00011798690172817698,0.0007105401656269104
2003-03-10,-8,-0.0012151327734277427,0.0007127370514644455
2003-03-11,-7,0.0007617248242493511,0.0007136701314165154
2003-03-12,-6,0.0006040919055333637,0.0007111679370050803
2003-03-13,-5,-0.0012447865657189763,0.0007159320217981926
2003-03-14,-4,2.7730879764215587e-05,0.000709856350630499
2003-03-17,-3,-9.193759780102423e-05,0.0007160004099323588
2003-03-18,-2,0.00038243949547684536,0.0007131101093597352
2003-03-19,-1,0.0010196956642069413,0.0007097794028483255
2003-03-20,0,-0.000354869305466711,0.0007107442536378671
2003-03-21,1,-3.878940725440816e-05,0.0007123858236377889
2003-03-24,2,-0.0003638325551212837,0.0007162771123473411
2003-03-25,3,8.174242256817413e-05,0.0007098165923517668
2003-03-26,4,-0.0001540564109380636,0.0007103366319659288
2003-03-27,5,0.00034253759092674153,0.0007105239580281126
2003-03-28,6,-0.00029097205021852684,0.0007090578808235924
2003-03-31,7,0.00013708194429638831,0.0007112157318290876
2003-04-01,8,0.0009840211131418777,0.000710918083076281
2003-04-02,9,-0.0008963303408191792,0.0007139376804705934
2003-04-03,10,0.0006210547567709656,0.0007093805219576966
