date,rel_day,AR,AR_std
2019-05-02,-10,6.036156426992949e-05,0.0004561364288414435
2019-05-03,-9,-0.00018246475296012678,0.0004591728817926672
2019-05-06,-8,0.00014676295060556295,0.0004571511141700913
2019-05-07,-7,-0.0004690222609369486,0.000458110058536473
2019-05-08,-6,0.0002591751686464405,0.0004556761256536709
2019-05-09,-5,-0.00014818906583735462,0.0004553916212175379
2019-05-10,-4,-0.00015802623554207317,0.0004558117799398185
2019-05-13,-3,0.0005271692087644234,0.0004635887374445042
2019-05-14,-2,-0.0003247029980080491,0.000456796411451653
2019-05-15,-1,0.00023459489950222213,0.0004571998117658398
2019-05-16,0,-0.0005207064470169331,0.00045675096944216236
2019-05-17,1,6.148782582016381e-05,0.00045743510731916973
2019-05-20,2,-0.0006753987773811644,0.00045665616876252945
2019-05-21,3,0.00026712950233032454,0.00045642449543832197
2019-05-22,4,0.0004211817781501876,0.0004580300098295298
2019-05-23,5,0.0005069358705606809,0.00045972081347652436
2019-05-24,6,-0.00018801597616058632,0.0004570570808234866
2019-05-28,7,-0.0003908151246593654,0.00045775616936433015
2019-05-29,8,-0.0003409026320653078,0.00045598886414928923
2019-05-30,9,0.000386607830550422,0.00045718256976811733
2019-05-31,10,-0.00016371561842860524,0.0004577220643783837
