month,n_articles,n_gep_articles,GEP_monthly
1996-01,58640,1208,0.020600272851296043
1996-02,65928,1848,0.028030578813250818
1996-03,63236,1988,0.03143778860142957
1996-04,55628,1852,0.03329258646724671
1996-05,62636,2932,0.04681014113289482
1996-06,48228,1984,0.041137928174504436
1996-07,65940,2772,0.04203821656050955
1996-08,56948,2140,0.037578141462386735
1996-09,62852,3224,0.051295105963215175
1996-10,74080,1572,0.021220302375809935
1996-11,63236,1596,0.025238788032133596
1996-12,63112,2072,0.032830523513753325
1997-01,66528,1404,0.021103896103896104
1997-02,73488,1704,0.023187459177008492
1997-03,73136,1852,0.02532268650185955
1997-04,83844,1964,0.0234244549401269
1997-05,81480,1672,0.020520373097692685
1997-06,82460,1580,0.019160805238903712
1997-07,91740,2048,0.022323959014606497
1997-08,90308,1880,0.020817646277184746
1997-09,96276,2440,0.025343803232373594
1997-10,129924,3960,0.030479357162648935
1997-11,113420,4052,0.035725621583494974
1997-12,105476,2616,0.024801850657969585
1998-01,96560,2508,0.025973487986743992
1998-02,77936,3280,0.04208581400123178
1998-03,162720,4628,0.02844149459193707
1998-04,160744,3304,0.020554421937988353
1998-05,159668,6572,0.041160407846281034
1998-06,156032,5524,0.03540299425758819
1998-07,145556,3712,0.025502212206985626
1998-08,148136,4252,0.02870335367500135
1998-09,141908,3604,0.025396735913408686
1998-10,166720,3536,0.021209213051823418
1998-11,144760,5072,0.035037303122409505
1998-12,125372,5044,0.040232268768146
1999-01,137844,4924,0.0357215402919242
1999-02,143224,3892,0.027174216611741048
1999-03,161900,5552,0.03429277331686226
1999-04,157872,4892,0.030987128813215768
1999-05,136916,4508,0.032925297262555143
1999-06,139448,3312,0.02375078882450806
1999-07,138084,3252,0.023550882071782395
1999-08,115860,2384,0.020576557914724666
1999-09,114308,3416,0.029884172586345664
1999-10,122484,2936,0.0239704777766892
1999-11,116176,4088,0.035187990634898775
1999-12,101288,3536,0.03491035463233552
2000-01,115008,2220,0.019303005008347245
2000-02,121616,4144,0.034074463886330744
2000-03,111492,3580,0.0321099271696624
2000-04,102084,2496,0.024450452568473023
2000-05,109624,3608,0.03291250091220901
2000-06,105960,3480,0.03284258210645526
2000-07,107252,3040,0.028344459776973856
2000-08,104148,2352,0.022583246917847678
2000-09,107112,4032,0.03764284113824781
2000-10,120340,4532,0.0376599634369287
2000-11,110620,4372,0.039522690291086605
2000-12,15276,428,0.028017805708300602
2001-01,119716,3276,0.02736476327307962
2001-02,109940,3996,0.036347098417318535
2001-03,110956,3508,0.03161613612603194
2001-04,85084,2324,0.027314183630294767
2001-05,108524,3812,0.03512587077512808
2001-06,121376,5308,0.04373187450566834
2001-07,125928,4284,0.03401943967981704
2001-08,109988,3120,0.02836673091609994
2001-09,129488,10848,0.08377610280489312
2001-10,145396,7428,0.0510880629453355
2001-11,119324,5100,0.04274077302135362
2001-12,97128,4548,0.04682480850012355
2002-01,107764,3680,0.034148695297130764
2002-02,107756,3624,0.03363153791900219
2002-03,106592,5716,0.05362503752626839
2002-04,115920,4952,0.04271911663216011
2002-05,106240,5100,0.04800451807228916
2002-06,100648,3344,0.03322470391860742
2002-07,120568,3888,0.03224736248424126
2002-08,98084,3176,0.032380408629338116
2002-09,100016,5112,0.05111182210846264
2002-10,115872,4956,0.042771333885666944
2002-11,93548,4324,0.046222260230042334
2002-12,91096,3932,0.04316325634495477
2003-01,144664,5808,0.04014820549687552
2003-02,146928,6092,0.041462485026679735
2003-03,170000,6164,0.03625882352941177
2003-04,158372,5068,0.03200060616775693
2003-05,158980,5376,0.03381557428607372
2003-06,160848,3812,0.023699393215955437
2003-07,180980,3168,0.01750469665156371
2003-08,152116,3584,0.02356096663072918
2003-09,177704,4060,0.022846981497321388
2003-10,184828,3952,0.021382041681996235
2003-11,161668,5308,0.03283271890541109
2003-12,169972,3984,0.023439154684300943
2004-01,162992,3440,0.021105330322960636
2004-02,176236,3724,0.021130756485621554
2004-03,200812,4844,0.02412206441846105
2004-04,184316,3704,0.0200959222205343
2004-05,166464,3696,0.022202998846597464
2004-06,172344,3932,0.022814835445388294
2004-07,188120,3228,0.017159260046778653
2004-08,179184,3136,0.017501562639521386
2004-09,168580,3936,0.023347965357693675
2004-10,185164,3128,0.016893132574366507
2004-11,174664,4232,0.024229377547748822
2004-12,165492,2940,0.017765209194402148
2005-01,183420,2528,0.013782575509759023
2005-02,182364,3808,0.020881314294487946
2005-03,208924,4456,0.021328329919013612
2005-04,206376,2756,0.013354265999922472
2005-05,190180,3320,0.017457145861815123
2005-06,208620,3848,0.018445019652957532
2005-07,198460,3160,0.015922604051194195
2005-08,199236,3172,0.01592081752293762
2005-09,211736,4004,0.01891034117958212
2005-10,227716,3512,0.015422719527832914
2005-11,215604,3228,0.014971892914788223
2005-12,198668,3072,0.015462983469909599
2006-01,221040,6252,0.028284473398479913
2006-02,217564,4940,0.02270596238348256
2006-03,247992,6284,0.025339527081518758
2006-04,219340,5860,0.02671651317589131
2006-05,250084,6132,0.024519761360182978
2006-06,248148,5540,0.02232538646291729
2006-07,239552,6480,0.02705049425594443
2006-08,254324,5980,0.02351331372579859
2006-09,221780,6708,0.030246189917936695
2006-10,269764,6432,0.02384306282528432
2006-11,260744,4368,0.016752063326481145
2006-12,213728,4600,0.021522683036382693
2007-01,244804,3572,0.014591264848613585
2007-02,247868,5020,0.020252715154840478
2007-03,267988,6088,0.022717435109034734
2007-04,261436,3828,0.014642206888110283
2007-05,278260,4608,0.01656005175016172
2007-06,261784,4180,0.015967362405647403
2007-07,267884,3436,0.012826447268220574
2007-08,270692,2708,0.010003989774356094
2007-09,238520,4200,0.01760858628207278
2007-10,309664,5040,0.016275705280562158
2007-11,278972,4256,0.015256011355978379
2007-12,219916,3032,0.01378708234053002
2008-01,296416,3576,0.012064126093058404
2008-02,285408,4704,0.01648166834846956
2008-03,289456,3648,0.012602951743961085
2008-04,311424,4036,0.012959823263460749
2008-05,292112,3668,0.012556827518212193
2008-06,287420,6008,0.02090320784914063
2008-07,331876,5384,0.01622292663524931
2008-08,285752,4104,0.014362104202245304
2008-09,361020,4640,0.012852473547171901
2008-10,440796,2984,0.0067695714117188
2008-11,338892,2888,0.008521888979379862
2008-12,312548,3144,0.010059254898447598
2009-01,327340,2752,0.008407160750290217
2009-02,343756,3336,0.009704557884080568
2009-03,383360,4672,0.012186978297161937
2009-04,368400,5552,0.01507057546145494
2009-05,348144,4312,0.012385679488947102
2009-06,354988,6592,0.018569641790708417
2009-07,364860,4880,0.013374993148056789
2009-08,325548,3900,0.011979800213793357
2009-09,335152,6492,0.01937031555831384
2009-10,354676,4920,0.013871815403354047
2009-11,304908,4820,0.015808047017461004
2009-12,285648,4280,0.014983476166470621
2010-01,293292,4804,0.016379580759106966
2010-02,314160,5644,0.017965367965367966
2010-03,293576,5624,0.019156879308935334
2010-04,324360,5680,0.017511407078554694
2010-05,306016,5324,0.017397783122451115
2010-06,289352,5792,0.020017141751223422
2010-07,307264,4276,0.01391637158925224
2010-08,296976,3864,0.013011152416356878
2010-09,283808,4256,0.01499605367008682
2010-10,323520,4616,0.014268051434223541
2010-11,331484,4956,0.01495094785872018
2010-12,274852,4176,0.015193631481670135
2011-01,292908,4300,0.014680377456402693
2011-02,306996,3988,0.012990397269019792
2011-03,325312,7892,0.024259787527050953
2011-04,297304,4728,0.015902914188843743
2011-05,318120,6084,0.01912485854394568
2011-06,296804,4804,0.016185765690489348
2011-07,310240,3400,0.010959257349149047
2011-08,326500,5328,0.01631852986217458
2011-09,275264,4604,0.01672576145082539
2011-10,290336,5332,0.018364928909952605
2011-11,290964,7052,0.024236675327531928
2011-12,230864,6012,0.026041305703790978
2012-01,262160,9084,0.03465059505645408
2012-02,289756,7852,0.027098662322781925
2012-03,282316,7820,0.027699457345669393
2012-04,279040,6724,0.02409690366972477
2012-05,312156,7592,0.024321172746959854
2012-06,242292,5336,0.02202301355389365
2012-07,276084,7180,0.026006577708233725
2012-08,278580,5888,0.02113575992533563
2012-09,222712,5072,0.022773806530406983
2012-10,285980,5812,0.020323099517448772
2012-11,272048,5492,0.020187613950479327
2012-12,206840,5320,0.025720363566041383
2013-01,267060,4660,0.017449262338051375
2013-02,259312,4928,0.019004134016165856
2013-03,241312,6784,0.02811298236308182
2013-04,274544,4904,0.017862346290576373
2013-05,289888,4044,0.01395021525554697
2013-06,233380,4644,0.019898877367383667
2013-07,289424,2872,0.009923157720161424
2013-08,276880,3760,0.013579890205143023
2013-09,246712,5776,0.02341191348617011
2013-10,312700,3776,0.012075471698113207
2013-11,268620,6632,0.024689151961879235
2013-12,222140,4696,0.021139821734041594
2014-01,280424,5684,0.020269306478760733
2014-02,281468,4872,0.017309250074608838
2014-03,286468,14380,0.050197578787159476
2014-04,302144,12368,0.04093412412624444
2014-05,290616,8664,0.029812536130151127
2014-06,268828,6412,0.023851682116446202
2014-07,318552,21164,0.0664381325497878
2014-08,276948,8688,0.031370509987434465
2014-09,275364,11012,0.03999070321465406
2014-10,336012,6256,0.01861838267680916
2014-11,283808,7444,0.026228999887247716
2014-12,253808,6412,0.02526319107356742
2015-01,293144,5796,0.01977185274131485
2015-02,308760,5036,0.016310402901930303
2015-03,316672,6928,0.021877526273241715
2015-04,331752,7232,0.02179941643155128
2015-05,305380,3900,0.0127709738686227
2015-06,287452,5344,0.0185909299639592
2015-07,328256,6232,0.018985182296744004
2015-08,299236,4436,0.014824419521715301
2015-09,286432,3852,0.013448218076192604
2015-10,349460,4356,0.012464945916556974
2015-11,315392,3272,0.010374391233766234
2015-12,251244,5800,0.023085128401076245
2016-01,276196,10072,0.03646685686975916
