date,rel_day,AR,AR_std
2010-09-08,-10,0.0053512951997763784,0.007855126373218058
2010-09-09,-9,-0.004614184160034589,0.007856733160336754
2010-09-10,-8,0.0007355028728097132,0.007844276688473498
2010-09-13,-7,0.0034899873731868633,0.007933326805026526
2010-09-14,-6,-0.0038600973400038405,0.007878202897868614
2010-09-15,-5,0.0022134206059750043,0.007848261332979655
2010-09-16,-4,-0.002193048749805194,0.007850249568460591
2010-09-17,-3,-0.00028482000366655456,0.007882042152161713
2010-09-20,-2,-0.0002489605898159039,0.007895996693259738
2010-09-21,-1,-0.006392475756299237,0.007846841649346138
2010-09-22,0,0.004766889323717351,0.007841910905042842
2010-09-23,1,0.0036192770651789184,0.007853776745533418
2010-09-24,2,-0.006742177342731699,0.007884830698940661
2010-09-27,3,0.0018073559837130599,0.007860838349673582
2010-09-28,4,0.0002971597301889969,0.007859987336792353
2010-09-29,5,0.004329794607778503,0.007887575124923791
2010-09-30,6,0.011250780871868624,0.007853430643198234
2010-10-01,7,0.006958799327926088,0.00785288831815364
2010-10-04,8,0.008325197150838608,0.007854926729061414
2010-10-05,9,-0.008558701901002965,0.00789749923769019
2010-10-06,10,-0.009808779184464616,0.007839902136416091
