date,rel_day,AR,AR_std
2018-04-24,-10,0.0006638511211638706,0.0030622271948047165
2018-04-25,-9,-0.0038690661805019133,0.0030128725351682576
2018-04-26,-8,-0.001514817709351492,0.003039234780516342
2018-04-27,-7,0.00022197311735025428,0.0030112239646105403
2018-04-30,-6,0.0015024976569266392,0.003016846608620619
2018-05-01,-5,-0.0005896274607516835,0.0030183126215091657
2018-05-02,-4,0.0018596589393972485,0.003069867915271395
2018-05-03,-3,-0.002742015465807601,0.0030189568278416287
2018-05-04,-2,-0.005652237357904059,0.00302534572951271
2018-05-07,-1,-0.0011603855269913788,0.0030185544709635777
2018-05-08,0,0.0007169090090996938,0.003017811669424667
2018-05-09,1,0.0014176415622143192,0.0030201013230588586
2018-05-10,2,0.0004144961813357887,0.0030212386647243366
2018-05-11,3,0.0003329575886624871,0.003013207767660582
2018-05-14,4,-0.0013205196150543603,0.0030135976561262265
2018-05-15,5,-0.0025126153958782635,0.003030459739116634
2018-05-16,6,-0.002804479092926466,0.003028031971002441
2018-05-17,7,-0.005404864023320413,0.0030363004116552117
2018-05-18,8,-0.0007973501994696635,0.0030308986327536413
2018-05-21,9,-0.0032336294098130394,0.0030208382601064968
2018-05-22,10,0.004342560185385816,0.0030408221761161194
