date,rel_day,AR,AR_std
2019-05-02,-10,0.005730510185696202,0.0036261578973658657
2019-05-03,-9,-0.0006796863118089733,0.0036422680872687306
2019-05-06,-8,-0.0016316470125332869,0.0036298239717387337
2019-05-07,-7,0.0006920000265370416,0.0036603333383493884
2019-05-08,-6,0.00256153202245835,0.0036330274011045836
2019-05-09,-5,-0.0010595238584408008,0.003635633652640048
2019-05-10,-4,0.0027480155408580367,0.0036259700932302864
2019-05-13,-3,-0.007419345196482099,0.0036756116237171
2019-05-14,-2,0.001106449673891098,0.0036297875574083753
2019-05-15,-1,-0.004172049364666735,0.003639593128205956
2019-05-16,0,-0.001978945845142803,0.0036460304346920143
2019-05-17,1,-0.0011917650088346067,0.0036276590285958645
2019-05-20,2,0.0041238439852771995,0.0036419225868564065
2019-05-21,3,0.0012344039093984838,0.0036295191544432966
2019-05-22,4,0.0011327578710254348,0.0036461338570691025
2019-05-23,5,0.0030378820753908745,0.003649664670768249
2019-05-24,6,0.002928925896608911,0.003640477338065877
2019-05-28,7,0.003952400411557517,0.003665245160312151
2019-05-29,8,0.0069911877278339505,0.00363788542524011
2019-05-30,9,-0.0012678607898403136,0.0036268613824080418
2019-05-31,10,0.0016242608199142378,0.0036488396117814064
