date,rel_day,AR,AR_std
2015-06-29,-10,-0.007881017260082834,0.003175790814541783
2015-06-30,-9,0.007996328699417837,0.003120169401070644
2015-07-01,-8,0.003443713893692491,0.0031050831654515156
2015-07-02,-7,-0.0035912223430097498,0.0030964976862039887
2015-07-06,-6,-0.006493286054520396,0.0031692545386998072
2015-07-07,-5,-0.0010709214701695143,0.0031098549680904065
2015-07-08,-4,-0.009247551880362144,0.003170491602397025
2015-07-09,-3,0.007313638365433701,0.0031084064535047166
2015-07-10,-2,0.0054568409669277056,0.0031295859736254978
2015-07-13,-1,-0.0010096829356338382,0.0031120465186754488
2015-07-14,0,-0.0017317324086676203,0.0031082342265575085
2015-07-15,1,0.0019191961783691096,0.0031011613104972033
2015-07-16,2,0.002739012950016025,0.0031085770286913075
2015-07-17,3,0.0010556440047820269,0.0031104443685051313
2015-07-20,4,0.0014082812450579756,0.0031244621016398265
2015-07-21,5,-0.0005739393283949461,0.0031161540089301673
2015-07-22,6,0.0045556895128346375,0.0030936599540444597
2015-07-23,7,-0.002844074968399409,0.0030941235933921456
2015-07-24,8,-0.0006290564747491491,0.003107385965757195
2015-07-27,9,0.004810194286393215,0.0031271117402897424
2015-07-28,10,-0.002707930291952326,0.0031033472676135223
