date,rel_day,AR,AR_std
2010-09-08,-10,0.00405120346123446,0.0047866187514285195
2010-09-09,-9,0.000833396509707254,0.004759591970384059
2010-09-10,-8,0.0029735120061937003,0.004755620732662611
2010-09-13,-7,-0.004553639472222013,0.004794044075517443
2010-09-14,-6,-0.003882155357892786,0.004771679022221902
2010-09-15,-5,0.0013913456091802882,0.004761196439282103
2010-09-16,-4,0.0008215886717685664,0.004757550660716035
2010-09-17,-3,-0.0019498344344402087,0.004756261396940488
2010-09-20,-2,0.003919805722719249,0.004777576798894277
2010-09-21,-1,-0.004230833334829459,0.004809304591791073
2010-09-22,0,-0.007626298703015663,0.004770418328528742
2010-09-23,1,0.003048221745504524,0.004754768174536992
2010-09-24,2,-0.001068722353685863,0.004782569507119759
2010-09-27,3,0.004213352199230645,0.004773959882872716
2010-09-28,4,-0.0034538272047460418,0.004762511626055509
2010-09-29,5,-0.0018234957741642306,0.004766506969944446
2010-09-30,6,0.003836970299066502,0.0047567695460281065
2010-10-01,7,-0.00540656709870194,0.004796462500337634
2010-10-04,8,0.001542146981330211,0.0047623508949850004
2010-10-05,9,-0.0019589559510160177,0.004779656665791928
2010-10-06,10,0.0007505507979134159,0.004764150811002345
