Guided Topic Modeling
                    
Topic Size:            300.0                    
#178 stifle                         weight: 21.663
#179 misguided                      weight: 21.621
#180 nationalistic                  weight: 21.598
#181 developed_nations              weight: 21.595
#182 destabilising                  weight: 21.570
#183 malmstrom                      weight: 21.557
#184 ustr's                         weight: 21.453
#185 successful_conclusion          weight: 21.447
#186 industrial_tariffs             weight: 21.420
#187 transatlantic_trade            weight: 21.403
#188 spats                          weight: 21.401
#189 negotiating_authority          weight: 21.369
#190 isolationist                   weight: 21.317
#191 disadvantage                   weight: 21.306
#192 retaliatory_measures           weight: 21.144
#193 openness                       weight: 20.919
#194 reciprocal                     weight: 20.917
#195 backfire                       weight: 20.759
#196 tpp_talks                      weight: 20.743
#197 agreement_ita                  weight: 20.611
#198 interventionist                weight: 20.586
#199 modalities                     weight: 20.466
#200 framework_agreement            weight: 20.360
#201 discourage                     weight: 20.306
#202 doha_qatar                     weight: 20.289
#203 ministerial_conference         weight: 20.191
#204 deep_divisions                 weight: 20.144
#205 reciprocity                    weight: 20.074
#206 doha_development               weight: 20.056
#207 irritant                       weight: 20.041
#208 michael_froman                 weight: 19.951
#209 commissioner_peter             weight: 19.766
#210 deter                          weight: 19.669
#211 irritants                      weight: 19.599
#212 undermines                     weight: 19.557
#213 liberalize                     weight: 19.491
#214 blunt                          weight: 19.458
#215 xenophobic                     weight: 19.416
#216 lobbies                        weight: 19.296
#217 jcct                           weight: 19.271
#218 tariff_reductions              weight: 19.138
#219 lamy's                         weight: 19.130
#220 globalized                     weight: 19.102
#221 ftas                           weight: 19.062
#222 resist                         weight: 19.053
#223 developing_country             weight: 19.014
#224 fairer                         weight: 18.933
#225 confrontational                weight: 18.920
#226 politically_sensitive          weight: 18.864
#227 endanger                       weight: 18.823
#228 organization_wto               weight: 18.597
#229 mongering                      weight: 18.592
#230 ignores                        weight: 18.568
#231 hypocritical                   weight: 18.470
#232 apec_forum                     weight: 18.432
#233 kituyi                         weight: 18.217
#234 unnecessarily                  weight: 18.150
#235 bashing                        weight: 18.134
#236 agricultural_tariffs           weight: 18.129
#237 backsliding                    weight: 18.041
#238 common_agricultural            weight: 17.726
#239 slapping                       weight: 17.599
#240 hefty_tariffs                  weight: 17.523
#241 doha_negotiations              weight: 17.513
#242 counter_productive             weight: 17.442
#243 pressing                       weight: 17.338
#244 globalism                      weight: 17.335
#245 steel_overcapacity             weight: 17.211
#246 strident                       weight: 17.154
#247 zoellick's                     weight: 17.150
#248 talks_aimed                    weight: 17.084
#249 ignoring                       weight: 17.021
#250 provoking                      weight: 16.815
#251 draft_texts                    weight: 16.798
#252 tendencies                     weight: 16.750
#253 nation_trans                   weight: 16.659
#254 rob_portman                    weight: 16.584
#255 singling_out                   weight: 16.578
#256 suppressing                    weight: 16.531
#257 commissioner_sir               weight: 16.489
#258 impose_punitive                weight: 16.391
#259 stifling                       weight: 16.219
#260 quota_free                     weight: 16.204
#261 detrimental                    weight: 16.142
#262 stumbling_block                weight: 16.035
#263 antagonistic                   weight: 16.002
#264 wto_urges                      weight: 15.969
#265 overt                          weight: 15.964
#266 anathema                       weight: 15.235
#267 unwelcome                      weight: 15.223
#268 acting_trade                   weight: 15.180
#269 amplified                      weight: 15.096
#270 deep_differences               weight: 15.061
#271 running_doha                   weight: 15.053
#272 amplifying                     weight: 14.851
#273 aggravate                      weight: 14.783
#274 mexican_resort                 weight: 14.727
#275 commissioner_karel             weight: 14.651
#276 resisting                      weight: 14.542
#277 cotton_producers               weight: 14.484
#278 greater_access                 weight: 14.362
#279 barral                         weight: 14.089
#280 wto_prospects                  weight: 14.078
#281 commissioner_pascal            weight: 14.062
#282 wto_director                   weight: 14.005
#283 broad_outlines                 weight: 13.563
#284 mercantilism                   weight: 13.554
#285 negotiating_texts              weight: 13.499
#286 clamping                       weight: 12.599
#287 slap_hefty                     weight: 11.496
#288 troubled_doha                  weight: 11.447
#289 overdependence                 weight: 10.723
#290 hurting_wealthy                weight: 10.647
#291 cancun_ministerial             weight: 10.492
#292 chinese_tyres                  weight: 10.413
#293 andrew_robb                    weight: 10.027
#294 robert_portman                 weight: 9.832
#295 liberalisation_talks           weight: 8.927
#296 nakasai                        weight: 8.715
#297 protected_farm                 weight: 8.551
#298 outline_doha                   weight: 7.967
#299 wto_texts                      weight: 6.378
