date,rel_day,AR,AR_std
2021-10-18,-10,-0.0008558226387958548,0.0008270808031207963
2021-10-19,-9,-0.00018144407959661078,0.0008272633799637452
2021-10-20,-8,-0.00031869238775357857,0.0008276281509783114
2021-10-21,-7,0.00037104054073078784,0.0008270027839719288
2021-10-22,-6,0.000599961700869093,0.0008264450048476326
2021-10-25,-5,0.00016427642021346871,0.0008279176226372542
2021-10-26,-4,0.00044359660061740963,0.0008271153659481431
2021-10-27,-3,0.0020690655371973492,0.0008313863668875654
2021-10-28,-2,0.0005479750758794234,0.0008291433416967825
2021-10-29,-1,0.0006494740415162268,0.0008273086020686558
2021-11-01,0,-1.2164116145292874e-05,0.000836114225244252
2021-11-02,1,0.001131180291081572,0.0008280475185737179
2021-11-03,2,0.0011798514675386857,0.0008341624851343282
2021-11-04,3,0.001128706687786946,0.000832117435529689
2021-11-05,4,0.0006383284537474642,0.0008280112193816386
2021-11-08,5,-0.0006437428891098714,0.000825209229874805
2021-11-09,6,-0.0005488503544526231,0.0008261712546768672
2021-11-10,7,0.0006257563110165978,0.0008296301916674286
2021-11-11,8,-0.0004119099283396531,0.000827864025454973
2021-11-12,9,-0.00010734733152632358,0.0008278610440052767
2021-11-15,10,-0.0005653234681810267,0.0008272234628861072
