Guided Topic Modeling
                    
Topic Size:            300.0                    
#175 red_lines                      weight: 20.829
#176 made_clear                     weight: 20.752
#177 foes                           weight: 20.695
#178 rulers                         weight: 20.541
#179 official                       weight: 20.392
#180 west_suspects                  weight: 20.344
#181 nuclear_standoff               weight: 20.309
#182 weapons_programme              weight: 20.276
#183 nuclear_accord                 weight: 20.248
#184 has_repeatedly                 weight: 20.162
#185 isolate_iran                   weight: 20.154
#186 iranian_official               weight: 20.153
#187 demands                        weight: 20.125
#188 destabilise                    weight: 19.993
#189 defiance                       weight: 19.892
#190 economic_sanctions             weight: 19.812
#191 aziz                           weight: 19.810
#192 security_council's             weight: 19.796
#193 conflict                       weight: 19.777
#194 sponsoring_terrorism           weight: 19.768
#195 imperialist                    weight: 19.754
#196 western_allies                 weight: 19.735
#197 qasemi                         weight: 19.721
#198 imposing_sanctions             weight: 19.642
#199 sanction                       weight: 19.561
#200 sanctions_regime               weight: 19.413
#201 president_mahmoud              weight: 19.384
#202 military_confrontation         weight: 19.378
#203 iranian_authorities            weight: 19.357
#204 pezeshkian                     weight: 19.294
#205 pretext                        weight: 19.081
#206 western_governments            weight: 19.057
#207 fredrik_dahl                   weight: 18.922
#208 isolate                        weight: 18.839
#209 accuses_iran                   weight: 18.767
#210 defuse                         weight: 18.594
#211 foe                            weight: 18.524
#212 regime's                       weight: 18.491
#213 iran's_ambassador              weight: 18.440
#214 khazaee                        weight: 18.378
#215 hostility                      weight: 18.340
#216 western_countries              weight: 18.130
#217 iraqi_leader                   weight: 17.902
#218 insisted                       weight: 17.847
#219 iran_insists                   weight: 17.844
#220 retaliate_against              weight: 17.842
#221 illegitimate                   weight: 17.796
#222 traitors                       weight: 17.605
#223 agency_quoted                  weight: 17.581
#224 generating_electricity         weight: 17.579
#225 malign                         weight: 17.535
#226 assurances                     weight: 17.512
#227 officials_say                  weight: 17.412
#228 fomenting                      weight: 17.339
#229 western_nations                weight: 17.283
#230 missile_program                weight: 17.055
#231 peaceful_solution              weight: 17.032
#232 making_bombs                   weight: 16.919
#233 insists                        weight: 16.852
#234 ruled_out                      weight: 16.843
#235 hardliner                      weight: 16.838
#236 aggression_against             weight: 16.833
#237 warmongering                   weight: 16.786
#238 hosseinian                     weight: 16.767
#239 covertly                       weight: 16.660
#240 wmd                            weight: 16.597
#241 iraq's_ambassador              weight: 16.315
#242 international_terrorism        weight: 16.253
#243 persian_gulf                   weight: 16.217
#244 hafezi                         weight: 16.194
#245 aggressors                     weight: 15.893
#246 halt_sensitive                 weight: 15.857
#247 zamaninia                      weight: 15.852
#248 insisting                      weight: 15.821
#249 sabri                          weight: 15.723
#250 insistence                     weight: 15.369
#251 seyed                          weight: 15.316
#252 pursuing_nuclear               weight: 15.235
#253 deceitful                      weight: 15.194
#254 reimposition                   weight: 15.105
#255 threat_posed                   weight: 15.105
#256 de_facto                       weight: 15.019
#257 president_mohammad             weight: 15.013
#258 senior_official                weight: 14.991
#259 west's                         weight: 14.849
#260 mostafavi                      weight: 14.701
#261 provoke                        weight: 14.693
#262 main_ally                      weight: 14.684
#263 tehran_defiant                 weight: 14.618
#264 remarks_published              weight: 14.569
#265 atomic_arms                    weight: 14.537
#266 iranian_marchers               weight: 14.456
#267 gholamreza                     weight: 14.443
#268 tankertrackers_com             weight: 14.429
#269 insist                         weight: 14.160
#270 adventurism                    weight: 14.141
#271 counter_productive             weight: 14.029
#272 apparent_reference             weight: 13.685
#273 reciprocate                    weight: 13.606
#274 targeted_sanctions             weight: 13.548
#275 devastated_dorian              weight: 13.312
#276 widely_believed                weight: 13.154
#277 reza_derakhshi                 weight: 13.135
#278 menace                         weight: 12.982
#279 iran's_enemies                 weight: 12.960
#280 souri                          weight: 12.605
#281 terror_ship                    weight: 12.278
#282 pre_sanction                   weight: 11.836
#283 sheikhzadeh                    weight: 11.396
#284 disputed_atomic                weight: 11.264
#285 parinoosh_arami                weight: 10.899
#286 drivers_pain                   weight: 10.865
#287 helping_facilitate             weight: 10.370
#288 razavi                         weight: 9.771
#289 mutual_ally                    weight: 9.531
#290 column_myths                   weight: 9.271
#291 rokneddin                      weight: 9.247
#292 temporarily_allow              weight: 8.824
#293 embargoing                     weight: 7.611
#294 quagmire_deeper                weight: 6.967
#295 khoshrou                       weight: 6.754
#296 sending_spies                  weight: 6.510
#297 archfoe                        weight: 6.480
#298 usa_hikers                     weight: 5.942
#299 iraniens                       weight: 5.502
