Guided Topic Modeling
                    
Topic Size:            300.0                    
Gravity:               1.5                    
Positive seed words:   trade_war trade_tensions                    
Negative seed words:   free_trade  cooperation  
#173 aid_promises                   weight: 14.828
#174 losing_steam                   weight: 14.716
#175 expect_much                    weight: 14.709
#176 ong_our                        weight: 14.704
#177 abating                        weight: 14.659
#178 trump's_announcement           weight: 14.631
#179 hard_deadline                  weight: 14.601
#180 hefty_tariffs                  weight: 14.511
#181 asia's_woes                    weight: 14.491
#182 hails_peace                    weight: 14.426
#183 festering                      weight: 14.360
#184 soften                         weight: 14.286
#185 impose_punitive                weight: 14.105
#186 america's_rivers               weight: 14.090
#187 americas_paho                  weight: 14.051
#188 ratcheting                     weight: 13.958
#189 denting                        weight: 13.886
#190 full_blown                     weight: 13.879
#191 decade_low                     weight: 13.788
#192 overlapping_claims             weight: 13.698
#193 shudders                       weight: 13.698
#194 fretting                       weight: 13.696
#195 nagging                        weight: 13.689
#196 against_hunger                 weight: 13.589
#197 stickiest_issues               weight: 13.555
#198 asia_woes                      weight: 13.551
#199 asia's_crisis                  weight: 13.541
#200 backsliding                    weight: 13.532
#201 washington's_demands           weight: 13.519
#202 immediate_action               weight: 13.479
#203 waver                          weight: 13.408
#204 normalising                    weight: 13.364
#205 ebb                            weight: 13.341
#206 retaliations                   weight: 13.299
#207 geopolitical_uncertainty       weight: 13.268
#208 elias_glenn                    weight: 13.267
#209 representative_robert          weight: 13.136
#210 diplomatic_rift                weight: 12.947
#211 little_sign                    weight: 12.910
#212 boil                           weight: 12.894
#213 souring                        weight: 12.813
#214 aggravate                      weight: 12.809
#215 policy_divergence              weight: 12.767
#216 join_pan                       weight: 12.733
#217 lagging_consumption            weight: 12.621
#218 unsettled                      weight: 12.616
#219 depressing                     weight: 12.505
#220 pressuring                     weight: 12.417
#221 irritations                    weight: 12.170
#222 barclays_settle                weight: 12.115
#223 revive_doha                    weight: 12.087
#224 receding                       weight: 12.079
#225 surge_geopolitics              weight: 12.018
#226 tariff_impacts                 weight: 11.970
#227 stalling                       weight: 11.926
#228 imposed_retaliatory            weight: 11.886
#229 buying_tremendous              weight: 11.802
