word,weight
protectionist,0.40947513565354215
import_tariffs,0.36516205578728905
impose_tariffs,0.3395431916645224
retaliatory_tariffs,0.33514497722209863
impose_sanctions,0.31016379771133945
trade_war,0.29856239213266317
sanctions,0.29718709409512695
protectionist_measures,0.29204415948639323
punitive,0.2895096608873262
slap_tariffs,0.28141438033591504
tariffs,0.2758923191389022
punitive_measures,0.2581302791829394
retaliation,0.2563746941603273
chinese_imports,0.25464482086256246
retaliate_against,0.2537170833542501
tariff,0.24847880366244138
trade_tensions,0.2470474278924889
sanctions_against,0.2470254017263245
retaliate,0.24585893798965416
protectionism,0.24342432059826943
punitive_tariffs,0.23903853580466883
largest_economies,0.23811860869893198
impose,0.23147982637743633
imposing_sanctions,0.23070146418437487
imported_steel,0.2302893159480376
trade_representative,0.2287005575552761
duties,0.22842351115104065
retaliatory_measures,0.22104438482472918
embargo,0.21875592798574636
retaliatory,0.21608038156155782
tpp,0.21514868563640946
aluminium_imports,0.21090987654076956
trading_partners,0.20471482679379846
reciprocal_tariffs,0.1977402100873328
impose_duties,0.19429252453867507
sanctions_imposed,0.19415646021907085
countermeasures,0.19347860238899386
chinese_goods,0.19049739647515032
unilateral,0.18997027161405577
threat,0.18777669051390725
tehran's,0.18628174424831764
trade_barriers,0.18541187956756433
import_levies,0.1833667893924106
ustr,0.18254167490435616
diplomats,0.1823839599809357
threats,0.18006095240746456
china,0.17617156735298947
islamic_republic,0.17581713391799966
serious_consequences,0.17531151215117524
major_powers,0.1737592971631704
slap,0.17106231415056272
lighthizer,0.17054851726606432
doha_round,0.16666666666666666
iran,0.16666666666666666
security_council,0.16666666666666666
sanction,0.16574783958789374
aluminum_imports,0.1652955149690579
into_effect,0.1639828929583346
phase_trade,0.16347930632504334
unilaterally,0.16213700672293951
wto,0.16206430781876108
weapons_inspections,0.16117089539575877
lift_sanctions,0.15864955890900515
embargoes,0.15781826108004332
tariff_threats,0.15734372252147513
counter_measures,0.1570557215993771
tariff_barriers,0.15570727871561799
iranian_officials,0.14759611547831955
imposition,0.14595837181389779
froman,0.14382049575256825
trade_dispute,0.1427134313091333
iranian_oil,0.14124557272114366
unilateral_action,0.14067687785920446
iran's_nuclear,0.14002276673546532
iran's,0.1384754729434293
impose_reciprocal,0.13667660312705668
targeted_sanctions,0.13650728645209012
arms_embargo,0.1328597701729773
tehran,0.1326026209079566
imposing_tariffs,0.13202463588453617
libya,0.1309167512597225
friction,0.13048989208753517
counterproductive,0.12970055800006072
frictions,0.12963220971311976
draft_resolution,0.1285556196251467
aluminum_tariffs,0.12828982536727754
iranian,0.12815798318992244
imposed_tariffs,0.12765189124338425
escalation,0.12700330950803526
nuclear_deal,0.1256953511064835
nuclear_programme,0.12495391862936749
trade_spats,0.12432719562638415
protectionist_policies,0.12431668753667412
nuclear_program,0.12279907672895424
retaliatory_duties,0.12119224955535085
counter_productive,0.12115845579499158
slapped_tariffs,0.12088887042238712
farm_subsidies,0.11873899554483325
tensions,0.11778498228920746
trade_organization,0.11706364550010961
trade_conflict,0.1169512971795369
escalating_trade,0.11670078477991014
trade_pact,0.11602168024454368
slapping,0.11588056358436309
negotiators,0.11543068813825137
venezuela,0.11485955872052078
developing_countries,0.1141563134720916
ustr's,0.11366691578573791
defend_itself,0.11336580870885256
asset_freezes,0.11272953973336614
sino_trade,0.11272134378658259
arms_inspectors,0.11245499438252772
lamy,0.11164534933290286
apec,0.11162454674641209
syria,0.11126623369705947
wto_members,0.11105516211041173
ukraine,0.11086772117006878
trade_organisation,0.11075705890014
threatened,0.11037600769047579
veto,0.1102529785343702
trade_spat,0.11007937686899738
russia,0.10998821488377424
weapons_inspectors,0.1099212099641577
military_action,0.10937477571446917
oil_embargo,0.10888565544920392
ban,0.10843498265680342
