date,rel_day,AR,AR_std
2021-10-18,-10,-0.005784414214128739,0.006392021796207933
2021-10-19,-9,-0.0013462448762516874,0.006404224693893832
2021-10-20,-8,-0.005329841041409812,0.006401402352715018
2021-10-21,-7,-0.01107496184527052,0.00639898529463821
2021-10-22,-6,0.002875644589411152,0.006397965927873853
2021-10-25,-5,0.002849788522255696,0.006393693511626882
2021-10-26,-4,0.0016615884145297992,0.00639893492664469
2021-10-27,-3,0.002607925031541211,0.0064221848354326545
2021-10-28,-2,-0.0031906375532644096,0.006412877083033204
2021-10-29,-1,-0.007800548524557268,0.006396270556310395
2021-11-01,0,-0.0001767873181920416,0.006459033767373875
2021-11-02,1,-0.005035950649240268,0.006393331622525594
2021-11-03,2,0.0018659359410226365,0.006426573306869383
2021-11-04,3,-0.005083520222564831,0.006405966298174395
2021-11-05,4,-0.0035688787703317282,0.006404096312232405
2021-11-08,5,0.009085043087586278,0.006388156804937525
2021-11-09,6,0.002188664806032134,0.006392896606864706
2021-11-10,7,-0.002450281006100917,0.006418721501932132
2021-11-11,8,0.015892806101896903,0.006392854595361432
2021-11-12,9,0.0011897852188039182,0.006405170926624374
2021-11-15,10,-0.010117197587460231,0.006398298351254321
