date,rel_day,AR,AR_std
2022-02-11,-10,2.3828913912265354e-05,0.0008392517504585554
2022-02-14,-9,0.00025182681435621194,0.0008290005889590558
2022-02-15,-8,3.734826206886442e-05,0.0008323265567931224
2022-02-16,-7,0.0008332928418013387,0.0008231472068496355
2022-02-17,-6,0.00039376094497880695,0.0008360472858996549
2022-02-18,-5,0.0007913946680517328,0.0008316847171634714
2022-02-22,-4,0.0006741466291729087,0.0008847042745607368
2022-02-23,-3,4.32530475581068e-05,0.0008795819827369893
2022-02-24,-2,0.0002953145691960597,0.0008799522730642926
2022-02-25,-1,-0.001020785022865782,0.0009153211881715556
2022-02-28,0,-0.0014210757859556005,0.0008851194754708981
2022-03-01,1,-5.14437237743616e-05,0.0008576449682568672
2022-03-02,2,0.0008544093657772943,0.0008626543723079654
2022-03-03,3,0.0018648788686099595,0.0008654318631139637
2022-03-04,4,0.0016010837676874237,0.0009238833020379736
2022-03-07,5,0.0018333407184593677,0.0008805431007345629
2022-03-08,6,-0.00033692448848452773,0.0008539051859766883
2022-03-09,7,-0.0007810277141307512,0.0008616489539761758
2022-03-10,8,0.00017540255679721149,0.0008335323598872702
2022-03-11,9,0.0003365650556050037,0.0008580891372686668
2022-03-14,10,7.356775864999967e-05,0.0008481483658875558
