Date,sp500,log_ret
1996-01-01,636.02001953125,0.0320967312736511
1996-02-01,640.4299926757812,0.006909774215232251
1996-03-01,645.5,0.007885395976348094
1996-04-01,654.1699829101562,0.01334202010570647
1996-05-01,669.1199951171875,0.02259617855050066
1996-06-01,670.6300048828125,0.0022541674267919786
1996-07-01,639.9500122070312,-0.04682750899291917
1996-08-01,651.989990234375,0.01863914203076116
1996-09-01,687.3300170898438,0.05278534169307636
1996-10-01,705.27001953125,0.025766184810720273
1996-11-01,757.02001953125,0.07080896305654677
1996-12-01,740.739990234375,-0.021740025620189604
1997-01-01,786.1599731445312,0.059510626546169565
1997-02-01,790.8200073242188,0.005910091189056064
1997-03-01,757.1199951171875,-0.04354863618214284
1997-04-01,801.3400268554688,0.05676360503236183
1997-05-01,848.280029296875,0.05692544457452352
1997-06-01,885.1400146484375,0.04253503662890388
1997-07-01,954.3099975585938,0.07524272255849243
1997-08-01,899.469970703125,-0.05918289529406516
1997-09-01,947.280029296875,0.05178908254907495
1997-10-01,914.6199951171875,-0.03508607782077327
1997-11-01,955.4000244140625,0.04362145338032799
1997-12-01,970.4299926757812,0.015609138181524677
1998-01-01,980.280029296875,0.010099010336863458
1998-02-01,1049.3399658203125,0.06807836648858762
1998-03-01,1101.75,0.048738462205499475
1998-04-01,1111.75,0.009035525668709443
1998-05-01,1090.8199462890625,-0.01900569265965794
1998-06-01,1133.8399658203125,0.03868041398243032
1998-07-01,1120.6700439453125,-0.01168331178413525
1998-08-01,957.280029296875,-0.15758607868343158
1998-09-01,1017.010009765625,0.06052627819818775
1998-10-01,1098.6700439453125,0.0772334378916789
1998-11-01,1163.6300048828125,0.05744403620469628
1998-12-01,1229.22998046875,0.05484350764671907
1999-01-01,1279.6400146484375,0.04019085861548223
1999-02-01,1238.3299560546875,-0.03281513760025149
1999-03-01,1286.3699951171875,0.038060632258911854
1999-04-01,1335.1800537109375,0.03724185997213077
1999-05-01,1301.8399658203125,-0.025287532336114905
1999-06-01,1372.7099609375,0.05300823759008801
1999-07-01,1328.719970703125,-0.0325708089457425
1999-08-01,1320.4100341796875,-0.006273730443188987
1999-09-01,1282.7099609375,-0.028967323421100265
1999-10-01,1362.9300537109375,0.06066183660855315
1999-11-01,1388.9100341796875,0.01888245796159326
1999-12-01,1469.25,0.05623277504510495
2000-01-01,1394.4599609375,-0.05224485096542008
2000-02-01,1366.4200439453125,-0.020313002436901425
2000-03-01,1498.5799560546875,0.09232375063667664
2000-04-01,1452.4300537109375,-0.03127991095339023
2000-05-01,1420.5999755859375,-0.02215875239575553
2000-06-01,1454.5999755859375,0.023651631558432373
2000-07-01,1430.8299560546875,-0.016476267193485265
2000-08-01,1517.6800537109375,0.05892822369153254
2000-09-01,1436.510009765625,-0.05496632087674741
2000-10-01,1429.4000244140625,-0.004961774691885913
2000-11-01,1314.949951171875,-0.08345618792359105
2000-12-01,1320.280029296875,0.004045252545684775
2001-01-01,1366.010009765625,0.034050231409260966
2001-02-01,1239.93994140625,-0.09683114482086731
2001-03-01,1160.3299560546875,-0.06635853454793589
2001-04-01,1249.4599609375,0.07400701716559067
2001-05-01,1255.8199462890625,0.005077276192499077
2001-06-01,1224.3800048828125,-0.025354105491820707
2001-07-01,1211.22998046875,-0.010798241319025235
2001-08-01,1133.5799560546875,-0.06625562852916861
2001-09-01,1040.93994140625,-0.08525663276941997
2001-10-01,1059.780029296875,0.01793727226268294
2001-11-01,1139.449951171875,0.07248427993671071
2001-12-01,1148.0799560546875,0.007545296609037892
2002-01-01,1130.199951171875,-0.015696378592795636
2002-02-01,1106.72998046875,-0.020984861119793335
2002-03-01,1147.3900146484375,0.036080106667215
2002-04-01,1076.9200439453125,-0.0633846547446828
2002-05-01,1067.1400146484375,-0.009122969376784574
2002-06-01,989.8200073242188,-0.07521434960317877
2002-07-01,911.6199951171875,-0.08229988459363803
2002-08-01,916.0700073242188,0.004869557741769553
2002-09-01,815.280029296875,-0.11656114050838795
2002-10-01,885.760009765625,0.08291439611915427
2002-11-01,936.3099975585938,0.05550057104349944
2002-12-01,879.8200073242188,-0.06222926619772058
2003-01-01,855.7000122070312,-0.0277974877305516
2003-02-01,841.1500244140625,-0.01714982949976613
2003-03-01,848.1799926757812,0.008322836592988462
2003-04-01,916.9199829101562,0.07792734002637904
2003-05-01,963.5900268554688,0.04964571199782595
2003-06-01,974.5,0.011258598140629074
2003-07-01,990.3099975585938,0.016093504013478806
2003-08-01,1008.010009765625,0.017715355943955013
2003-09-01,995.969970703125,-0.012016271671429112
2003-10-01,1050.7099609375,0.05350426070312328
2003-11-01,1058.199951171875,0.007103216390662538
2003-12-01,1111.9200439453125,0.04951898497110497
2004-01-01,1131.1300048828125,0.017128847057714995
2004-02-01,1144.93994140625,0.01213504533610582
2004-03-01,1126.2099609375,-0.016494204178642544
2004-04-01,1107.300048828125,-0.016933314713063943
2004-05-01,1120.6800537109375,0.012011028036095873
2004-06-01,1140.8399658203125,0.017829111362111554
2004-07-01,1101.719970703125,-0.03489223484716681
