date,rel_day,AR,AR_std
2018-04-24,-10,-0.007566958974413193,0.003193929750470123
2018-04-25,-9,-0.000386165455922495,0.0031643576849078965
2018-04-26,-8,-0.008013056793485088,0.0031809381700424436
2018-04-27,-7,-0.0037517876674541483,0.003149638278110629
2018-04-30,-6,-0.0011670686968418519,0.0031524449895971723
2018-05-01,-5,-0.001505062608706101,0.0031601947541168244
2018-05-02,-4,0.001177878270510942,0.003184154190350013
2018-05-03,-3,0.0018448870646246278,0.003154268721694776
2018-05-04,-2,-0.0009494979448032379,0.003161444089415155
2018-05-07,-1,0.0005675506045774619,0.0031537157109757705
2018-05-08,0,0.007393909102435226,0.0031498619278783487
2018-05-09,1,-0.0033683863266630847,0.003157875973069164
2018-05-10,2,-0.0010694796433430489,0.0031610406667618536
2018-05-11,3,0.0003139085269308734,0.0031521989852940652
2018-05-14,4,-0.0042743594688232954,0.0031485908150929573
2018-05-15,5,0.0034173240298625176,0.003160200979452269
2018-05-16,6,-0.00017927048705482966,0.003160010072391434
2018-05-17,7,0.003980321904856787,0.0031530769636607466
2018-05-18,8,0.005981839616750516,0.003164963542548856
2018-05-21,9,0.005209024536931298,0.003152550915434096
2018-05-22,10,-0.005587058053993003,0.0031616129893775936
